observation,Linear_Regression,Penalised_Linear_Regression_Lasso_min,Penalised_Linear_Regression_Lasso_1se,Penalised_Polynomial_Regression_Lasso_min,Penalised_Polynomial_Regression_Lasso_1se,Random_Forest,Neural_Networks,Extent
337,0.7981753,0.7972896,0.7918048,0.8807504,0.8784903,0.83074308,0.81295466,0.824
338,0.9515374,0.9483978,0.9565258,0.8840431,0.9161794,0.89402467,0.88523636,0.909
339,0.9964217,0.9874074,1.0009525,0.9788338,0.9816474,0.91144983,0.91818814,0.927
340,0.8113296,0.8085719,0.818975,0.8768166,0.8696152,0.86313358,0.86513755,0.861
341,0.6200719,0.6180437,0.6124051,0.7038767,0.6926087,0.699966,0.74757635,0.751
342,0.4829904,0.4817956,0.4831867,0.6111961,0.5990837,0.60854842,0.60891038,0.61
343,0.3541883,0.353762,0.3594136,0.4418442,0.4516411,0.38713358,0.40547656,0.408
344,0.2526025,0.254614,0.2705216,0.2559009,0.2432388,0.17591075,0.21646703,0.187
345,0.2105181,0.2148157,0.2361858,0.1865059,0.1985875,0.10766867,0.14858693,0.089
346,0.3622148,0.3648741,0.3859815,0.3758074,0.3949406,0.25868333,0.26480917,0.302
347,0.505711,0.5065061,0.5220266,0.6239977,0.6179992,0.51489208,0.5216215,0.541
348,0.5593695,0.558881,0.5621442,0.6792023,0.6688333,0.68676958,0.70655652,0.702
349,0.9418002,0.9409107,0.9704549,0.9304955,0.9190555,0.82236092,0.85209235,0.826
350,1.0136127,1.0157346,1.0423859,0.9205028,0.909823,0.89134142,0.87135117,0.898
351,0.9875163,0.9938388,1.0046301,0.9895853,0.9935078,0.897715,0.88950651,0.911
352,0.822151,0.8289309,0.8357918,0.8847838,0.8793644,0.84701067,0.84031703,0.873
353,0.6483606,0.6554474,0.6617574,0.7286767,0.7342937,0.73534933,0.74080641,0.768
354,0.4660604,0.4708146,0.4790967,0.6296942,0.6194191,0.60883317,0.61247964,0.619
355,0.3131275,0.3142795,0.3235385,0.4175237,0.4268462,0.37408375,0.39458414,0.391
356,0.2255552,0.2262705,0.2416131,0.2287478,0.2155234,0.17815208,0.20809515,0.205
357,0.2301901,0.2326251,0.2517439,0.1844481,0.1953192,0.08380392,0.10347764,0.135
358,0.3016968,0.3028841,0.325472,0.3273624,0.3366458,0.26088825,0.27955422,0.268
359,0.5955318,0.5958001,0.612362,0.7091501,0.7101284,0.59195833,0.5741801,0.495
360,0.5587305,0.5562797,0.5610805,0.6923818,0.6826034,0.67006375,0.68745371,0.689
361,0.8396013,0.8384418,0.8511321,0.9007699,0.9159073,0.81898008,0.84904679,0.812
362,0.9411286,0.9400657,0.9656114,0.8792713,0.8679741,0.86023525,0.87242113,0.879
363,0.9815898,0.9842334,0.9990499,0.9749639,0.9699009,0.87604642,0.89074139,0.924
364,0.8161667,0.8194107,0.8289469,0.8536445,0.850145,0.82921158,0.83997306,0.886
365,0.7008318,0.7058308,0.7074244,0.7537885,0.7643572,0.72952917,0.74965197,0.743
366,0.5518321,0.5552193,0.5579493,0.6622743,0.6604329,0.6134395,0.61271747,0.561
367,0.3711378,0.3712452,0.3798348,0.4639844,0.4729399,0.41695525,0.40402293,0.359
368,0.2432056,0.2429746,0.2575964,0.2313427,0.214715,0.20171875,0.16808193,0.184
369,0.2160762,0.2193356,0.2409101,0.1920917,0.2007181,0.13479083,0.12876115,0.104
370,0.3645653,0.3661941,0.3805057,0.3620893,0.3723421,0.25611375,0.24525459,0.272
371,0.4585962,0.4571777,0.4628487,0.5465835,0.5326921,0.50030267,0.49918221,0.482
372,0.6468232,0.6474832,0.6410968,0.7314122,0.7293974,0.6856965,0.70367485,0.66
373,0.6639877,0.6657072,0.658513,0.8116308,0.7888092,0.80773083,0.78645612,0.79
374,0.7867277,0.7910985,0.7900144,0.8352724,0.8427273,0.87408642,0.84156482,0.862
375,0.7425127,0.7497252,0.7437834,0.8893434,0.8517031,0.88511325,0.86048353,0.877
376,0.8511875,0.8593412,0.8646057,0.922912,0.9184401,0.84936892,0.84302497,0.842
377,0.6691628,0.6771964,0.6843196,0.7578361,0.7659007,0.73575975,0.7402297,0.728
378,0.4627924,0.4688136,0.4705399,0.6117144,0.5993063,0.58122817,0.54696309,0.573
379,0.3246567,0.3271544,0.3303022,0.4081082,0.4180306,0.354477,0.31965829,0.331
380,0.203167,0.2056764,0.2207089,0.1991323,0.1870053,0.122289,0.12659717,0.154
381,0.1591149,0.163755,0.1860051,0.1315653,0.1428815,0.07354217,0.0584023,0.079
382,0.2827361,0.2858688,0.3068148,0.301633,0.3152173,0.2003935,0.23363606,0.231
383,0.4797081,0.4842368,0.4944305,0.6078617,0.6092372,0.50169058,0.51818997,0.495
384,0.6237087,0.623737,0.63242,0.7451098,0.7436836,0.69300992,0.69821995,0.685
385,0.9010371,0.9043697,0.9225885,0.9469807,0.9751368,0.82155742,0.85208707,0.812
386,0.7949288,0.7995515,0.8177941,0.8430799,0.866605,0.87381167,0.85064244,0.877
387,0.9668706,0.9759613,0.9898138,1.011783,1.0208289,0.90057575,0.88815776,0.929
388,0.8141253,0.8205712,0.8341459,0.8756506,0.8734891,0.84096925,0.82536605,0.883
389,0.6485475,0.655964,0.6657326,0.759447,0.7645882,0.73010608,0.72359631,0.754
390,0.4225073,0.4283762,0.4357746,0.5889953,0.5756153,0.55010717,0.48902379,0.567
391,0.2873362,0.2896334,0.301004,0.3996097,0.4095239,0.34374433,0.28292092,0.327
392,0.1639229,0.1661657,0.1872423,0.1880081,0.1745261,0.14764575,0.1210037,0.092
393,0.1310493,0.1555604,0.1853762,0.1618118,0.1723723,0.10383483,0.06283808,0
394,0.2169763,0.2438879,0.2705031,0.2957485,0.3092006,0.21413517,0.20961305,0.185
395,0.41964,0.440298,0.4484304,0.5650039,0.5639869,0.48233558,0.48432389,0.465
396,0.5580378,0.5900428,0.5948895,0.7420166,0.7406606,0.65317833,0.63594815,0.674
397,0.7192693,0.7545381,0.7718275,0.8542833,0.8631574,0.80250083,0.80945497,0.809
398,0.8752626,0.9027881,0.9090471,0.885955,0.916557,0.87762992,0.89344604,0.891
399,0.8262516,0.8539626,0.8675454,0.9419578,0.9375343,0.87702692,0.87526912,0.915
400,0.8164469,0.8429255,0.8518805,0.9296065,0.9307985,0.85205992,0.8452507,0.857
401,0.722096,0.7423989,0.7460476,0.7994866,0.8177958,0.73417658,0.73355766,0.753
402,0.4542574,0.4746426,0.4799469,0.6244203,0.6167457,0.58306083,0.57730056,0.622
403,0.2943639,0.3192017,0.3270454,0.4402386,0.4487794,0.36636233,0.37930502,0.364
404,0.1892061,0.2147101,0.231247,0.2474305,0.2324264,0.16032025,0.17505381,0.195
405,0.1744897,0.2014248,0.2284129,0.2236938,0.2340037,0.12189467,0.09228293,0.131
406,0.2278439,0.2553816,0.2785315,0.3077167,0.3166565,0.22196317,0.18322531,0.31
407,0.4256607,0.4433628,0.4505674,0.5628732,0.5582109,0.48191642,0.48291146,0.509
408,0.4980998,0.5159222,0.5059688,0.626947,0.6159345,0.68396633,0.60320508,0.688
409,0.5995082,0.625508,0.6313025,0.7988862,0.7806916,0.79628167,0.79900746,0.805
410,0.6857462,0.7198897,0.7320863,0.8327828,0.8421996,0.86207575,0.83468382,0.867
411,0.8541388,0.8813104,0.8958693,0.9370353,0.932861,0.87625692,0.88208202,0.894
412,0.8201274,0.843755,0.852941,0.8845016,0.8842218,0.84970508,0.83309207,0.84
413,0.602198,0.6233718,0.6306446,0.7208554,0.7286088,0.72174792,0.70943882,0.729
414,0.4329244,0.4521116,0.4553307,0.6355995,0.6248779,0.58994267,0.542383,0.596
415,0.2781545,0.3043881,0.3166488,0.4588202,0.4685205,0.3724675,0.35551792,0.363
416,0.1374471,0.1648056,0.1889288,0.2279006,0.2142291,0.14138617,0.13447036,0.2
417,0.1117278,0.143304,0.1807527,0.2100554,0.2185152,0.1331415,0.08473279,0.132
