"","observation","year","Extent","Ave","future","future_ozone_plus","future_ozone_minus","future=","ozone+","ozone-"
"47",47,1983,11.4576,NA,NA,NA,NA,NA,NA,NA
"48",48,1983,13.29804,NA,NA,NA,NA,NA,NA,NA
"49",49,1984,14.47492,NA,NA,NA,NA,NA,NA,NA
"50",50,1984,15.30124,NA,NA,NA,NA,NA,NA,NA
"51",51,1984,15.57668,NA,NA,NA,NA,NA,NA,NA
"52",52,1984,15.01328,NA,NA,NA,NA,NA,NA,NA
"53",53,1984,13.586,NA,NA,NA,NA,NA,NA,NA
"54",54,1984,12.1462,11.92,NA,NA,NA,NA,NA,NA
"55",55,1984,9.98024,NA,NA,NA,NA,NA,NA,NA
"56",56,1984,7.7642,NA,NA,NA,NA,NA,NA,NA
"57",57,1984,6.81268,NA,NA,NA,NA,NA,NA,NA
"58",58,1984,8.56548,NA,NA,NA,NA,NA,NA,NA
"59",59,1984,10.84412,NA,NA,NA,NA,NA,NA,NA
"60",60,1984,12.98504,NA,NA,NA,NA,NA,NA,NA
"61",61,1985,14.72532,NA,NA,NA,NA,NA,NA,NA
"62",62,1985,15.464,NA,NA,NA,NA,NA,NA,NA
"63",63,1985,15.88968,NA,NA,NA,NA,NA,NA,NA
"64",64,1985,15.36384,NA,NA,NA,NA,NA,NA,NA
"65",65,1985,14.07428,NA,NA,NA,NA,NA,NA,NA
